academic_year,provider_slug,download_url,bytes
2023-24,hertfordshire,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/hertfordshire/grant-data-tables,5537
2023-24,huddersfield,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/huddersfield/grant-data-tables,6781
2023-24,hull,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/hull/grant-data-tables,5739
2023-24,imperial-college-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/imperial-college-london/grant-data-tables,6135
2023-24,institute-of-cancer-research,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/institute-of-cancer-research/grant-data-tables,4205
2023-24,keele-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/keele-university/grant-data-tables,6238
2023-24,kent,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/kent/grant-data-tables,7513
2023-24,kings-college-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/kings-college-london/grant-data-tables,8503
2023-24,kingston-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/kingston-university/grant-data-tables,5631
2023-24,lamda,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/lamda/grant-data-tables,2772
2023-24,lancaster-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/lancaster-university/grant-data-tables,6562
2023-24,leeds,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/leeds/grant-data-tables,8313
2023-24,leeds-arts-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/leeds-arts-university/grant-data-tables,3425
2023-24,leeds-beckett-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/leeds-beckett-university/grant-data-tables,6181
2023-24,leeds-trinity-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/leeds-trinity-university/grant-data-tables,4109
2023-24,leicester,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/leicester/grant-data-tables,7010
2023-24,lincoln,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/lincoln/grant-data-tables,6789
2023-24,liverpool,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/liverpool/grant-data-tables,7515
2023-24,liverpool-hope-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/liverpool-hope-university/grant-data-tables,5303
2023-24,liverpool-john-moores-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/liverpool-john-moores-university/grant-data-tables,6711
2023-24,liverpool-school-of-tropical-medicine,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/liverpool-school-of-tropical-medicine/grant-data-tables,4679
2023-24,london-business-school,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/london-business-school/grant-data-tables,3661
2023-24,london-metropolitan-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/london-metropolitan-university/grant-data-tables,4910
2023-24,london-school-of-economics-and-political-science,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/london-school-of-economics-and-political-science/grant-data-tables,7031
2023-24,london-school-of-hygiene-and-tropical-medicine,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/london-school-of-hygiene-and-tropical-medicine/grant-data-tables,4605
2023-24,loughborough-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/loughborough-university/grant-data-tables,6570
2023-24,lsbu,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/lsbu/grant-data-tables,4691
2023-24,manchester,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/manchester/grant-data-tables,8852
2023-24,manchester-metropolitan-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/manchester-metropolitan-university/grant-data-tables,6165
2023-24,metanoia-institute,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/metanoia-institute/grant-data-tables,3151
2023-24,middlesex-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/middlesex-university/grant-data-tables,5973
2023-24,national-film-and-television-school,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/national-film-and-television-school/grant-data-tables,3547
2023-24,newcastle-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/newcastle-university/grant-data-tables,8376
2023-24,northampton,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/northampton/grant-data-tables,4984
2023-24,northumbria-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/northumbria-university/grant-data-tables,6752
2023-24,norwich-university-of-the-arts,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/norwich-university-of-the-arts/grant-data-tables,3709
2023-24,nottingham-the,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/nottingham-the/grant-data-tables,9636
2023-24,nottingham-trent-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/nottingham-trent-university/grant-data-tables,6284
2023-24,open-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/open-university/grant-data-tables,7162
2023-24,oxford-brookes-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/oxford-brookes-university/grant-data-tables,6350
2023-24,oxford-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/oxford-university/grant-data-tables,9042
2023-24,plymouth,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/plymouth/grant-data-tables,6468
2023-24,plymouth-marjon-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/plymouth-marjon-university/grant-data-tables,3759
2023-24,portsmouth,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/portsmouth/grant-data-tables,6281
2023-24,queen-mary-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/queen-mary-university-of-london/grant-data-tables,8193
2023-24,ravensbourne-university-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/ravensbourne-university-london/grant-data-tables,3591
2023-24,reading,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/reading/grant-data-tables,7698
