academic_year,discipline,mainstream_qr,london_qr,rdp_qr,charity_qr,business_qr,total_qr,research_councils,charities,central_government,industry,overseas,identifiable_research_funding
2010-11,Arts and Humanities,172953776.0,4991023.0,30137431.0,6085230.0,1609880.3867028346,215777340.38670284,49585000.0,20057000.0,7067000.0,5196000.0,18720000.0,316402340.38670284
2010-11,Social Sciences,200714277.0,5884279.0,40488742.0,9552288.0,6468424.6198345395,263108010.61983454,103473000.0,28833000.0,80087000.0,22782000.0,64329000.0,562612010.6198345
2010-11,STEM,486959641.0,10686038.0,92858256.0,38812237.0,39712708.89349703,669028880.893497,803255000.0,191784000.0,164676000.0,143992000.0,316421000.0,2289156880.893497
2010-11,Health,236140341.0,11828912.0,41711987.0,143072213.0,15878026.099965587,448631479.0999656,283570000.0,519771000.0,374729000.0,56695000.0,261331000.0,1944727479.0999656
2011-12,Arts and Humanities,166110726.0,4836022.0,30341178.0,6148161.0,1163720.0850818688,208599807.08508188,46684000.0,21036000.0,5857000.0,4714000.0,25947000.0,312837807.0850819
2011-12,Social Sciences,192660106.0,5733347.0,40622333.0,9340163.0,4646640.413479223,253002589.4134792,97292000.0,26942000.0,67338000.0,21931000.0,68049000.0,534554589.4134792
2011-12,STEM,466947826.0,10280145.0,92313665.0,39072118.0,37800388.47701884,646414142.4770188,780004000.0,204128000.0,146708000.0,146777000.0,378054000.0,2302085142.477019
2011-12,Health,227056158.0,11533967.0,41919250.0,142961516.0,20058291.02442007,443529182.0244201,272355000.0,526011000.0,412512000.0,56478000.0,290450000.0,2001335182.02442
2012-13,Arts and Humanities,158386043.0,4652637.0,35087629.0,5411357.714435133,852511.9175393569,204390178.6319745,50827000.0,21211000.0,4597000.0,4681000.0,32513000.0,318219178.63197446
2012-13,Social Sciences,178639170.0,5369082.0,44460471.0,6692490.217640672,4369603.6241298625,239530816.84177053,93344000.0,27327000.0,61308000.0,21287000.0,81318000.0,524114816.8417705
2012-13,STEM,456166539.0,10061481.0,111829094.0,50358082.03526777,38173238.219006516,666588434.2542742,798706000.0,211375000.0,152998000.0,153221000.0,451267000.0,2434155434.2542744
2012-13,Health,225303226.0,11580109.0,48819214.0,135060033.03265637,20273680.239324283,441036262.27198064,279323000.0,553423000.0,445440000.0,56623000.0,324994000.0,2100839262.2719808
2013-14,Arts and Humanities,158386043.0,4652637.0,35483439.0,5516034.032874251,1185322.9272469818,205223475.9601212,53313000.0,21364000.0,5512000.0,4956000.0,40425000.0,330793475.9601212
