academic_year,discipline,qr_share,mainstream_qr_share,other_qr_share,qr_share_sensitivity_low,qr_share_sensitivity_high,qr_data_status
2010-11,Arts and Humanities,0.681971378982161,0.5466260957128767,0.13534528326928438,0.681971378982161,0.681971378982161,Published QR; provider support funds allocated by HESA income
2010-11,Social Sciences,0.46765445040884596,0.356754340844717,0.11090010956412898,0.46765445040884596,0.46765445040884596,Published QR; provider support funds allocated by HESA income
2010-11,STEM,0.2922599523333515,0.21272445111316762,0.07953550122018387,0.2922599523333515,0.2922599523333515,Published QR; provider support funds allocated by HESA income
2010-11,Health,0.2306911811147933,0.12142592910204957,0.10926525201274374,0.2306911811147933,0.2306911811147933,Published QR; provider support funds allocated by HESA income
2011-12,Arts and Humanities,0.6667985849560357,0.5309803426502833,0.13581824230575237,0.6667985849560357,0.6667985849560357,Published QR; provider support funds allocated by HESA income
2011-12,Social Sciences,0.47329607569374194,0.36041240654465123,0.11288366914909073,0.47329607569374194,0.47329607569374194,Published QR; provider support funds allocated by HESA income
2011-12,STEM,0.2807950629408451,0.20283690528386328,0.07795815765698179,0.2807950629408451,0.2807950629408451,Published QR; provider support funds allocated by HESA income
2011-12,Health,0.22161664173403223,0.1134523392380105,0.10816430249602173,0.22161664173403223,0.22161664173403223,Published QR; provider support funds allocated by HESA income
2012-13,Arts and Humanities,0.6422937156416804,0.4977262642713813,0.14456745137029908,0.6422937156416804,0.6422937156416804,Published QR; provider support funds allocated by HESA income
2012-13,Social Sciences,0.4570197390814931,0.34083976308178077,0.11617997599971235,0.4570197390814931,0.4570197390814931,Published QR; provider support funds allocated by HESA income
2012-13,STEM,0.27384793299302584,0.1874023871198475,0.08644554587317836,0.27384793299302584,0.27384793299302584,Published QR; provider support funds allocated by HESA income
2012-13,Health,0.20993336815069616,0.10724439039488572,0.10268897775581044,0.20993336815069616,0.20993336815069616,Published QR; provider support funds allocated by HESA income
2013-14,Arts and Humanities,0.6203975920760357,0.47880642911801025,0.14159116295802554,0.6203975920760357,0.6203975920760357,Published QR; provider support funds allocated by HESA income
2013-14,Social Sciences,0.4433022435449956,0.3316437623522134,0.11165848119278221,0.4433022435449956,0.4433022435449956,Published QR; provider support funds allocated by HESA income
2013-14,STEM,0.25703084637729345,0.17608390248496006,0.0809469438923334,0.25703084637729345,0.25703084637729345,Published QR; provider support funds allocated by HESA income
2013-14,Health,0.20433283141547515,0.10423378931118078,0.10009904210429436,0.20433283141547515,0.20433283141547515,Published QR; provider support funds allocated by HESA income
2014-15,Arts and Humanities,0.6057303507585148,0.46906992179282336,0.1366604289656914,0.6057303507585148,0.6057303507585148,Published QR; provider support funds allocated by HESA income
2014-15,Social Sciences,0.4329968015963359,0.32433750380305765,0.10865929779327824,0.4329968015963359,0.4329968015963359,Published QR; provider support funds allocated by HESA income
2014-15,STEM,0.2391123080503175,0.16321433583909029,0.07589797221122717,0.2391123080503175,0.2391123080503175,Published QR; provider support funds allocated by HESA income
2014-15,Health,0.18894825732416576,0.09669664016882851,0.09225161715533726,0.18894825732416576,0.18894825732416576,Published QR; provider support funds allocated by HESA income
2015-16,Arts and Humanities,0.5819322634418335,0.4679117670920091,0.11402049634982434,0.5819322634418335,0.5906206618503207,Reconstructed (missing detailed QR workbook)
2015-16,Social Sciences,0.42625390770595956,0.33793843667362883,0.08831547103233073,0.42625390770595956,0.43600363631396194,Reconstructed (missing detailed QR workbook)
2015-16,STEM,0.22672966607989925,0.15394353326144364,0.07278613281845561,0.22591290419381385,0.22672966607989925,Reconstructed (missing detailed QR workbook)
2015-16,Health,0.1878774785764542,0.09349697463353697,0.09438050394291725,0.18346648241923377,0.1878774785764542,Reconstructed (missing detailed QR workbook)
2016-17,Arts and Humanities,0.5622882483205421,0.4490626304636642,0.11322561785687801,0.5622882483205421,0.5710257639636945,Reconstructed (missing detailed QR workbook)
2016-17,Social Sciences,0.4099906979483939,0.3250961055159051,0.08489459243248879,0.4099906979483939,0.41964201020622843,Reconstructed (missing detailed QR workbook)
2016-17,STEM,0.22200550662569998,0.14854895336988333,0.07345655325581667,0.22121258053355713,0.22200550662569998,Reconstructed (missing detailed QR workbook)
2016-17,Health,0.18954145368896777,0.0963972977350726,0.09314415595389518,0.1850021795521185,0.18954145368896777,Reconstructed (missing detailed QR workbook)
2017-18,Arts and Humanities,0.5435522595967456,0.43470657990210454,0.10884567969464098,0.5435522595967456,0.5523781261310079,Reconstructed (missing detailed QR workbook)
2017-18,Social Sciences,0.3972267868646391,0.31450557714161803,0.08272120972302102,0.3972267868646391,0.4067707670160417,Reconstructed (missing detailed QR workbook)
2017-18,STEM,0.21046651239982134,0.13958569290082784,0.0708808194989935,0.2097104261420312,0.21046651239982134,Reconstructed (missing detailed QR workbook)
2017-18,Health,0.18401229619509651,0.09472182793174129,0.08929046826335524,0.17952192591576682,0.18401229619509651,Reconstructed (missing detailed QR workbook)
2018-19,Arts and Humanities,0.534402377948921,0.42206818424595394,0.11233419370296709,0.534402377948921,0.543862363455988,Reconstructed (missing detailed QR workbook)
2018-19,Social Sciences,0.39405994596822125,0.3083931539915535,0.0856667919766678,0.39405994596822125,0.40424153789930817,Reconstructed (missing detailed QR workbook)
2018-19,STEM,0.20302238739336123,0.1326641642428356,0.0703582231505256,0.20223654753372852,0.20302238739336123,Reconstructed (missing detailed QR workbook)
2018-19,Health,0.18027328907291962,0.09066539951157057,0.08960788956134905,0.17559475781845016,0.18027328907291962,Reconstructed (missing detailed QR workbook)
2019-20,Arts and Humanities,0.5439086237442029,0.4349300618223077,0.10897856192189524,0.5439086237442029,0.5439086237442029,Published QR; provider support funds allocated by HESA income
2019-20,Social Sciences,0.40423283031110474,0.3189487729520157,0.08528405735908903,0.40423283031110474,0.40423283031110474,Published QR; provider support funds allocated by HESA income
2019-20,STEM,0.21721999191522814,0.14464015500006389,0.07257983691516424,0.21721999191522814,0.21721999191522814,Published QR; provider support funds allocated by HESA income
2019-20,Health,0.18932586134060644,0.09692292447578792,0.09240293686481854,0.18932586134060644,0.18932586134060644,Published QR; provider support funds allocated by HESA income
2020-21,Arts and Humanities,0.5403378484829933,0.4344539304778248,0.10588391800516847,0.5403378484829933,0.5403378484829933,Published QR; provider support funds allocated by HESA income
2020-21,Social Sciences,0.3802456429089423,0.30152791132210166,0.07871773158684064,0.3802456429089423,0.3802456429089423,Published QR; provider support funds allocated by HESA income
2020-21,STEM,0.21531689567319834,0.14263611283606994,0.07268078283712842,0.21531689567319834,0.21531689567319834,Published QR; provider support funds allocated by HESA income
2020-21,Health,0.18501296537587245,0.09490982465077202,0.09010314072510044,0.18501296537587245,0.18501296537587245,Published QR; provider support funds allocated by HESA income
2021-22,Arts and Humanities,0.5173946491251511,0.4151254512396252,0.10226919788552592,0.5173946491251511,0.5173946491251511,Published QR; provider support funds allocated by HESA income
2021-22,Social Sciences,0.35590549510372427,0.2811554773318711,0.07475001777185317,0.35590549510372427,0.35590549510372427,Published QR; provider support funds allocated by HESA income
2021-22,STEM,0.2093834804377654,0.13892481045620247,0.07045866998156292,0.2093834804377654,0.2093834804377654,Published QR; provider support funds allocated by HESA income
2021-22,Health,0.16994444798661068,0.08723813964654414,0.08270630834006656,0.16994444798661068,0.16994444798661068,Published QR; provider support funds allocated by HESA income
2022-23,Arts and Humanities,0.5539843101441086,0.4423390215055549,0.1116452886385537,0.5539843101441086,0.5539843101441086,Published QR; provider support funds allocated by HESA income
2022-23,Social Sciences,0.36924291243936,0.2877020643806599,0.0815408480587001,0.36924291243936,0.36924291243936,Published QR; provider support funds allocated by HESA income
2022-23,STEM,0.23565823483209963,0.15076932768232204,0.08488890714977756,0.23565823483209963,0.23565823483209963,Published QR; provider support funds allocated by HESA income
2022-23,Health,0.192759237168915,0.10016016584351153,0.09259907132540345,0.192759237168915,0.192759237168915,Published QR; provider support funds allocated by HESA income
2023-24,Arts and Humanities,0.5686102955220648,0.45140501629836444,0.1172052792237004,0.5686102955220648,0.5686102955220648,Published QR; provider support funds allocated by HESA income
2023-24,Social Sciences,0.36282008778338354,0.2815803264775563,0.08123976130582726,0.36282008778338354,0.36282008778338354,Published QR; provider support funds allocated by HESA income
2023-24,STEM,0.22167466190883917,0.14233335062736446,0.0793413112814747,0.22167466190883917,0.22167466190883917,Published QR; provider support funds allocated by HESA income
2023-24,Health,0.1945365559243889,0.09991603844742777,0.09462051747696112,0.1945365559243889,0.1945365559243889,Published QR; provider support funds allocated by HESA income
2024-25,Arts and Humanities,0.5729757133755441,0.4534424450615233,0.11953326831402074,0.5729757133755441,0.5729757133755441,Published QR; RDP subject mix carried forward from 2023-24
2024-25,Social Sciences,0.36074990348178854,0.27922570396117624,0.0815241995206123,0.36074990348178854,0.36074990348178854,Published QR; RDP subject mix carried forward from 2023-24
2024-25,STEM,0.21755280404195404,0.13963288978073912,0.07791991426121492,0.21755280404195404,0.21755280404195404,Published QR; RDP subject mix carried forward from 2023-24
2024-25,Health,0.20115964697342006,0.10261732261035869,0.09854232436306136,0.20115964697342006,0.20115964697342006,Published QR; RDP subject mix carried forward from 2023-24
